Introduction,Cluster
"The2010World Lacrosse Championshipwas held between 15–24 July. This international men'sfield lacrossetournament organized by theFederation of International Lacrossetook place inManchester, United Kingdom. This was the third time that the tournament was played in Greater Manchester, after the1978and1994championships. TheUnited Statescaptured their ninth gold medal, defeatingCanada12–10 in the championship game.[1]Paul Rabilof Team USA was named tournament MVP.[2]Australia earned its fourth-straight bronze medal by defeating Japan 16 –9. A record 29 nations competed at the event, eight more than the2006 WLCinLondon, Ontario. The 101 games were held at the Armitage Centre,Manchester University's sports grounds.[3][4] For the first time, a FIL World Lacrosse Festival ran alongside the world championships from 17 to 22 July. 48 teams from around the world competed in 8 divisions from U16 to Grand Masters.[5] TheIroquois Nationals' participation in the championships was prevented in a dispute over their passports.[6]The team sought to travel onHaudenosaunee passports, but the United Kingdom government would not allow it because of increased passport security requirements.[7]TheUnited States Department of Stateinitially also refused to allow the passports, but later granted the team a one-time waiver to travel to the tournament. However, the U.K. would not issue the team visas.[8] Initially, the Iroquois were hoping to be able to travel, and agreed to forfeit their first game against England. Because it was the opening game of the tournament, organizers arranged for the host team to play Germany in an exhibition match instead.[9]However, just before game time, the FIL decided to move Germany to the Blue Division and the Iroquois to the Plum Division, making the England-Germany match an official one.[10]The Iroquois team did not officially withdraw from the tournament, and would have been allowed to play its remaining games should it have resolved its passport difficulties in time.[11]On 18 July, the FIL announced that the competition schedule had progressed too far to allow Iroquois to compete in the tournament.[12]Each of the other three Plum Division teams were given 1–0 forfeit victories over the Iroquois team. For pool play, nations were separated into seven divisions according to strength, the top six teams were placed in the Blue Division, and the other teams were put in six divisions of four. Each of the thirty nations were eligible to win the championship. Each division played round-robin games for ranking to determine which tournament brackets they would be placed in. The Blue Division originally consisted of the top six teams from the 2006 World Lacrosse Championship, but Germany was moved up to replace the missing Iroquois team. The first and second place teams from the Blue Division advanced to the tournament semifinals. The third and fourth place teams advanced to the quarterfinals. The fifth and sixth place teams were placed into the 5th through 8th place classification bracket. Canada's 10–9 win over the United States marked the first time that the American team lost a preliminary round game in any world championship, and only its third loss overall.[13]Both teams ended up advancing to the semifinals. Japan, Australia, and England all finished 2–3 in the Blue Division and 1–1 in head-to-head matches against each other. All three games between the teams were close, with two going into overtime. Japan and Australia advanced to the quarterfinals based on goal differential in those matches.",-1
"OTTO Work Force/VOC Amsterdamis awomen's handballclub fromAmsterdam-NoordinNetherlandsthat competes in theAFAB Eredivisie. They play their home matches in Sportshal Elzenhagen, which have capacity for 750 spectators. They usually play in green shirts and black shorts.",-1
"Scaevola virgatais a species of flowering plant in the familyGoodeniaceae. It is a perennial, much-branched, small shrub has white to blue flowers andendemicto Western Australia.",0
"SisbertorSisebertwas themetropolitanarchbishop of Toledofrom 690 to 693 as successor to the famousJulian. In the latter year, he was at the head of a conspiracy to dethrone the king,Egica. He planned to assassinate the king, QueenLiuvigoto, and four of their closest advisors: Frogellus, Theodomir, Liuvila, and Tecla. It seems likely that the conspirators took Toledo itself and minted coins in the name of Duke Sunifred, whom they intended to crown. However, Egica defeated them and called theSixteenth Council of Toledoto deal with the rebels. Sisbert was brought forward to confess his guilt to the assemblage of bishops and other ecclesiastics and was penalised, he and his descendants being prohibited from holding palatine office. Exceptionally, ArchbishopFelix of Sevillewas translated to Toledo and ArchbishopFaustinus of Bragato Seville.",-1
"PUBG Mobile Global Championship 2023is the final event of the 2023 PUBG Mobile competitive season. In the PMGC 2023, 48 qualified teams participated in the League Stage across the phases of Group Stage, Survival Stage & Last Chance inKuala Lumpur,Malaysiaas a closed offline event in November 2–26. The Grand Finals was held inIstanbul,Turkeyon December 8–10 and 14 qualified teams from the League Stage are joined with the host country and PEL teams. The championship featured a total prizepool of $3,000,000 USD.[1][2][3][4][5][6][7]",-1
"TheWarwickshire Royal Horse Artillerywas aTerritorial ForceRoyal Horse Artillerybatterythat was formed inWarwickshirein 1908.  It was the first Territorial Force artillery unit to go overseas on active service, spending the whole of theFirst World Waron theWestern Front, mostly with1st Cavalry Divisionand29th Division.  A second line battery, 2/1st Warwickshire RHA, also served on the Western Front in 1917 and 1918 as part of an Army Field Artillery Brigade.  Post-war it was reconstituted as aRoyal Field Artillerybattery.",-1
"Vyacheslav Olegovich Muravyev(Russian:Вячеслав Олегович Муравьев; born 14 July 1982 inKaraganda) is aKazakhstanisprinter who specializes in the100and200 metres. He competed in the60 metresat the2006 World Indoor Championships,[1]and finished eighth in the100 metresat the2006 Asian Games. He then competed in the200 metres eventat the2008 Olympic Gamesand2012 Olympic Gameswithout reaching the final round.[1] His personal best 100 metres time is 10.33 seconds, achieved in May 2012 inAlmaty. He has 20.63 seconds in the 200 metres, achieved in May 2012 also in Almaty; and 6.67 seconds in the60 metres, achieved in February 2006 inPattaya.[1]",2
"TheMyanmar Air Force(Burmese:တပ်မတော် (လေ),romanized:Tatmadaw (Lay),lit.'Armed Forces (Air Force)',pronounced[taʔmədɔ̀(le)]) is the aerial branch of theTatmadaw, the armed forces ofMyanmar. The primary mission of the Myanmar Air Force (MAF) since its inception has been to provide transport, logistical, andclose air supportto theMyanmar Armyincounter-insurgencyoperations.[2]It is mainly used ininternal conflicts in Myanmar, and, on a smaller scale, in relief missions,[3]especially after the deadlyCyclone Nargisof May 2008.",-1
"TheReligious of the Sacred Heart of Mary(known in theUnited Statesas theRSHMand in other parts of the world asRSCM) are a globalRoman Catholiccommunity of about 900 apostolicreligiouswomen. The institute was founded in 1849 inBéziers, France byFather Jean Gailhacand Appollonie Pelissier-Cure. Today the diversity ofministriesinclude educational, pastoral and social services. The community is not to be confused with the Religious of the Sacred Heart, another name for theSociety of the Sacred Heart, who use the abbreviation RSCJ.",-1
"Novosyolovka(Russian:Новосёловка) is arural locality(aselo) in Kiprinsky Selsoviet,Shelabolikhinsky District,Altai Krai,Russia. The population was 40 people in 2013.[2]There are 3 streets. Novosyolovka is located 36 km west ofShelabolikha(the district's administrative centre) by road. Omutskoye is the nearest rural locality.[3]",1
The Godwinnswere aprofessional wrestlingtag teamcomposed ofDennis Knight(Phineas I. Godwinn) and Mark Canterbury (Henry O. Godwinn) and they used to be in theWWF. The team used other gimmicks before they joined the WWF and had a gimmick change in the WWF shortly before disbanding. Their original WWFgimmickwas that of two cousins who werehogfarmersfromArkansas.,-1
Sogatellais a genus of delphacid planthoppers in the familyDelphacidae. There are more than 20 described species inSogatella.[1][2][3][4],0
Haeterius ferrugineusis abeetlebelonging to theHisteridaefamily.[1],0
"Marta Mirska, (bornAlicja NowakFebruary 12, 1918 inWarsaw– November 15, 1991), was a Polish singer active from 1940 to the mid-1960s. Her distinctivealtovoice brought her to popular attention immediately beforeWorld War II. Her popularity peaked in the 1950s, with recordings on the Poznań-based Mewa and then thePolskie Nagranialabels. Her best-known song wasPierwszy siwy włos(First Gray Hair), a nostalgictangowritten byKazimierz WinklerandHenryk Hubertus Jabłońskioriginally for singerMieczysław Fogg.[1]",-1
"A partialsolar eclipseoccurred at the Moon'sdescending nodeof orbit on Friday, April 7, 1978,[1]with amagnitudeof 0.7883. Asolar eclipseoccurs when theMoonpasses betweenEarthand theSun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth. A partial solar eclipse occurs in the polar regions of the Earth when the center of the Moon's shadow misses the Earth. A partial eclipse was visible for parts ofAntarctica, southernSouth America, andSouthern Africa.",-1
"TheFamennianis the later of twofaunal stagesin theLate Devonianepoch. The most recent estimate for its duration is that it lasted from around 371.1 to 359.3 million years ago.[8]An earlier 2012 estimate, still used by the International Commission on Stratigraphy, is that it lasted from 372.15 million years ago to 358.86 million years ago. It was preceded by theFrasnianstage and followed by theTournaisianstage.",0
"TheHabeas Corpus Act of 1867(sess. ii, chap. 28, 14Stat.385) is anact of Congressthat significantly expanded thejurisdictionoffederal courtsto issue writs ofhabeas corpus.[1]Passed February 5, 1867, the Act amended theJudiciary Act of 1789to grant the courts the power to issue writs of habeas corpus in all cases where any person may be restrained of their liberty in violation of the constitution, or any treaty or law of the United States.[2]Prior to the Act's passage, prisoners in the custody of one of the states who wished to challenge the legality of their detention could petition for a writ of habeas corpus only in state courts; the federal court system was barred from issuing writs of habeas corpus in their cases.[1][3]The Act also permitted the court to go beyond the return and question the truth of the jailer's stated justification for detaining the petitioning prisoner, whereas prior to the Act courts were technically bound to accept the jailer's word that the prisoner was actually being held for the reason stated.[4]The Act largely restored habeas corpus following its1863 suspension by Congress, ensuring that anyone arrested after its passage could challenge their detention in the federal courts, but denied habeas relief to anyone who was already in military custody for any military offense or for having aided the Confederacy.[2] Another feature of the 1867 Act is that it extended the reach of habeas to include interpersonal detention as well as official detainment: Although some states already had statutes applying habeas to interpersonal as well as official confinement, such as in the case of Missouri'sfreedom suitprovision,[5]this federal expansion of habeas allowed petitioners in states that had not already done so to use habeas to challenge confinement contrary to the constitution, particularly in the case of coercive labor contracts that closely resembled enslavement. When the Habeas Corpus Act of 1867 is spoken of, it is usually this act that is meant.[1][4]Another act dealing with habeas corpus was passed the same day and appears on the same page of theUnited States Statutes at Large, being the twenty-seventh rather than the twenty-eighth chapter. It amended theHabeas Corpus Suspension Act of 1863, which permitted (among other things) government officials charged with abusing their powers under the suspension of habeas corpus to have their cases heard at the federal rather than state level.[6]The 1867 Act ensured that the federal courts could effectively hear the cases transferred to them by issuing a writ forhabeas corpus cum causa.[7] The Habeas Corpus Act of 1867: The Supreme Court as Legal Historian, Mayers L., 33 U.Chi.L.Rev. 31 (1965).",-1
"Manu Mapuhola Mafi-Vatuvei(born 4 March 1986), also known by thenicknameThe Beast,[3]is a New Zealand former professionalrugby leaguefootballer who was both aTongaandNew Zealandinternational representativewinger. He previously played for theNew Zealand Warriorsin theNRLand for theSalford Red Devilsin theSuper League. Vatuvei was a member of the New Zealand national team that won the2008 World Cup.[2]He became the Warriors' top try scorer, and the first player in NRL history to score at least 10 tries in 10 consecutive seasons.[4]",-1
"TheWorld RX of Canadais aRallycrossevent held inCanadafor theFIA World Rallycross Championship. The event made its debut in the2014 season, at theCircuit Trois-Rivièresin the town ofTrois-Rivières,Quebec.",2
"Leslie TyackMBE(17 December 1899 – 19 May 1970) was an Australian politician. He was born inMelbourneand attended state school atPortarlington. He worked for theSunshine Harvester Company, before serving inWorld War Iin France. On his return he qualified as a chartered accountant and worked for the Victorian Crown Law Department. On 15 January 1927, he married schoolteacher Thelma Camille La Mascotte Kirkham, with whom he had one daughter. He worked as an accountant for various firms, and from 1930 to 1951 was a member ofHawthorn City Council, of which he was mayor from 1948 to 1949. In 1939 he was elected to theVictorian Legislative AssemblyforHawthorn, but he was defeated in 1940. Tyack served duringWorld War IIas an amenities officer inPalestineandNew Guinea, and was awarded theMBEin 1945. In 1950, he was re-elected to the seat of Hawthorn, but he lost again in 1952. He was briefly aHawthorn Citycouncillor again in 1954, but he then became a manager ofSir Arthur Warner's Universal Guarantee Company inSydney, a position he held until 1963. He remarried, to Marjorie Elizabeth Miers, on 11 April 1953, and died in Sydney in 1970.[1]",-1
"William Henry Wadsworth(July 4, 1821 – April 2, 1893) was aU.S. RepresentativefromKentucky. Born inMaysville, Kentucky, Wadsworth attended town and county private schools.
He studied law and graduated fromAugusta College,Bracken County, Kentucky, in 1841.
He wasadmitted to the barin 1844 and commenced practice inMaysville, Kentucky.
He served as member of theKentucky State Senatefrom 1853 to 1856.
He served as presidential elector on the Constitutional Union ticket in 1860. Wadsworth was elected as a Unionist to theThirty-seventhandThirty-eighthCongresses (March 4, 1861 – March 3, 1865). His vote on theThirteenth Amendmentis recorded as nay.  He was not a candidate for renomination in 1864. During theCivil WarWadsworth served as aide to General Nelson, with the rank of colonel, at theBattle of Ivy Mountain.
He was appointed United States commissioner toMexico, under the treaty of Washington for the adjustment of claims, byPresident Grantin 1869. Wadsworth was elected as aRepublicanto theForty-ninthCongress (March 4, 1885 – March 3, 1887).
He was not a candidate for renomination in 1886.
He resumed the practice of law.
He died inMaysville, Kentucky, April 2, 1893.
He was interred in Maysville Cemetery.",-1
"Ruth Ann Buzzi(/ˈbʌzi/BUZZY; born July 24, 1936)[1][2]is a retired American actress andcomedienne. She has appeared on stage, in films, and on television. She is best known for her performances on the comedy-variety showRowan & Martin's Laugh-Infrom 1968 to 1973, for which she won aGolden Globe Awardand received fiveEmmynominations.",-1
"TheBrighton Tigerswere an Englishice hockeyclub based inBrighton. The team existed from 1935 until 1965 and were one of the United Kingdom's most successful sides during that period. The club was based at the Brighton Sports Stadium (often known by its original name ofSS Brighton) on West Street. The Tigers were members of theEnglish National Leagueand later theBritish National League. The club was one of the country's best supported teams with 4,000 spectators regularly attending matches which were held on a Thursday night. The Tigers' most famous victory was over theSoviet Unionin December 1957, winning 6–3.[1][2] The club won the firstBritish Championshipsince 1930 when they defeated theNottingham Panthersinovertimein 1960. After the collapse of the professional league in 1960, the Tigers continued to participate in the inter-rink tournaments that were established in the league's place until 1965 when the Brighton Sports Stadium was closed down and demolished by the local council. With the demise of the ice rink,Grice hockey, a variation of ice hockey that was played on grass, became popular for a while with pitches set up around Brighton.[3] TheBrighton Royalsteam, founded in 1977, included some Tigers players. The Royals had some success in the 1980s before folding in 1988.[4]",7
"South Africanswith disabilities constitute a sizeable proportion of the population, and their status in society is extremely varied in a developing nation withsocio-economic inequalityand a history ofapartheid. Wealthy city dwellers have access to a wide range of assistance, whereas the poor struggle for even the basic necessities of life.",-1
"The1894–95 Irish Leaguewas the 5th edition of theIrish League, the highest level of league competition inIrishfootball. The league comprised four teams andLinfieldwon the championship for the fourth time.",10
"You Broke Me First[1]is a song by Canadian singerTate McRae. It was released on April 17, 2020, throughRCA Recordsas the lead single from her second extended play,Too Young to Be Sad(2021).[2][3][1]The song gained popularity on the video-sharing platformTikTok,[4][5]where it has featured in over a million videos.[6][7]The song is one of the most streamed songs released by a female artist in 2020.[citation needed]The song reached mainstream US radio on August 4, 2020.[8][9] You Broke Me First peaked at number eight on theCanadian Hot 100. Outside of Canada, You Broke Me First peaked within the top ten of the charts in Australia, Belgium (Flanders), Finland, Ireland, Malaysia, the Netherlands, Norway, Singapore, Sweden, and the United Kingdom, while charting at number seventeen in theUnited States.",-1
"Sigizmund Aleksandrovich Levanevsky(Russian:Сигизмунд Александрович Леваневский,Polish:Zygmunt Lewoniewski; 15 May [O.S.2 May] 1902 – 13 August 1937) was aSovietpioneer of long-range flight who was awarded the titleHero of the Soviet Unionin 1934 for his role in theSSChelyuskinrescue.",-1
Utsavamelam(The Sound of Festival) is a1992IndianMalayalam-language film directed bySuresh Unnithanand written by K. S. Bhasurachandran. The rivalry between two families and the unexpected middle man in these issues is the main theme of the film. The film was a moderate success.[1][2][3],-1
"Martin O'Doherty(born 26 March 1952) is an Irish formerhurlerwho played as a full-back for theCorksenior team.[1] Born inGalway, O'Doherty first played competitive hurling during his schooling atColáiste Chríost Rí. He arrived on the inter-county scene at the age of sixteen when he first linked up with the Cork minor teams as adual player, before later joining the under-21 sides. He made his senior hurling debut during the1971 championship. O'Doherty later became a regular member of the starting fifteen, and won threeAll-Irelandmedals, sixMunstermedals and oneNational Hurling Leaguemedal. The All-Ireland-winning captain 1in 1977, he was an All-Ireland runner-up on one occasion. As a member of theMunsterinter-provincial team on a number of occasions, O'Doherty won oneRailway Cupmedal. At club level he is a two-timeAll-Irelandmedallist withGlen RoversO'Doherty also won twoMunstermedals and twochampionshipmedals. Throughout his career O'Doherty made 25 championship appearances. He retired from inter-county hurling following the conclusion of the1982 championship.",-1
"Magooare an Englishindie rockbandwhich formed inNorfolk, England in 1992.",-1
"Intercity Transitis apublic transportation agencyorganized as amunicipal corporationinThurston County, Washington, United States. It servesLacey,Olympia,Tumwater, andYelmandLakewood: an area of approximately 94 square miles (240 km2). It operates 19 bus routes,[3]the Dial-A-Lift door-to-door service, avanpoolprogram, and specialized van programs. In FY 2024 the system had an annual ridership of 4,242,904, or about 11,688 daily boardings. Intercity Transit previously maintained a free shuttle route calledDash, which provided service between the Capitol Campus and downtown Olympia via Capitol Way.[4]Dash ran every fifteen minutes on weekdays, every ten minutes on weekends, and was close to several publicparking lots. However, this service was retired during the COVID-19 pandemic. In 2009, theAmerican Public Transportation Associationgave Intercity Transit the America's Best Public Transportation System award for the mid-size category.[5] Intercity Transit began a five-yearzero-farepilot project in January 2020 as part of its service expansion approved in a 2018 ballot measure.[6][7]The agency also launched a zero-fare express bus route connectingCapital Mallto Lacey in September 2019.[8]The pilot was extended to 2028 amid theCOVID-19 pandemic, which also forced the suspension of the express route and Dash.[9]All of Intercity Transit's fixed route services were suspended on April 13, 2020, and replaced temporarily by an on-demand system with advance reservations limited to only passengers with essential business as part of the local response to the pandemic.[10]Limited fixed route service resumed in June alongside the advance reservation system but ridership remained 70percent below its 2019 levels.[11][12]Intercounty service to Lakewood resumed in June 2021.[13] Intercity Transit operates 77coaches, 33 Dial-A-Liftvans, and 221 vanpool vans.[14]Intercity Transit purchased six new hybrid electric buses in 2010,[15]and nine new hybrid electric buses in 2014. Intercity Transit is one of the first transportation systems in the country to use an all-biodiesel fleet. All of Intercity Transit's coaches areGillig Low Floorbuses.[16]They are equipped with wheelchair accessibility, kneeling doors, automatic stop announcements, and surveillance cameras.",-1
"Horton Corwin Hinshaw Sr.(August 1, 1902,Iowa Falls, Iowa– December 28, 2000,San Rafael, California) was an Americanpulmonologist, known for the use ofstreptomycinas the first effectiveantibioticfor the treatment oftuberculosis (TB).[1][2]",-1
"Nymphicula queenslandicais amothin the familyCrambidae. It was described byGeorge Hampsonin 1917.[1]It is found inAustralia, where it has been recorded fromQueensland. Thewingspanis 13–15 mm.[2] The larvae are aquatic.[3]",0
"Jealousy is a song byBritishRockbandQueenwhich was originally released on their seventh studio albumJazzin 1978, and one year later was released as the fourth and last single from the album.  It was written byFreddie Mercury.[1]",-1
"All Our Gods Have Abandoned Usis the seventh studio album by BritishmetalcorebandArchitects. It was released on 27 May 2016 globally throughEpitaph Records; with the exception ofUNFDin Australia and New Damage in Canada. The album peaked at number 109 on theBillboard200, and reached number 15 on theUK Albums Chart. It is the band's first album to feature guitarist Adam Christianson, following his addition to the band as a full-time member after his tenure as a touring guitarist through 2012 to 2015. It is also the band's final album to include founding guitarist and primary songwriter Tom Searle, before his death on 20 August 2016.[1] Recorded inGothenburg, Sweden, it was described byBlabbermouth.netas the heaviest and darkest work to which Architects have ever put their name to [sic] and an album that challenges and progresses a genre long thought to have stagnated, and embraces its inspirations at a time when manyrockandmetalbands seek to hide them in search of mainstream acceptance.[2]",-1
"José Casas Gris(16 November 1931 – 12 October 2010), known asPepín, was a Spanishfootballerwho played as agoalkeeper.",-1
"Cricket inVanuatuis an established and growing sport.  Vanuatu's playing season runs from April to October, during the Vanuatu winter to avoid the heat and humidity of the tropical summer. There are 10 cricket clubs in Vanuatu.[1]",-1
Cornelis MarinusKeesKievit(5 June 1931 – 29 July 2020) was a Dutch swimmer who won a silver medal in the 100 m backstroke event at the1950 European Aquatics Championships.[2]He also participated in the1948 Summer Olympicsbut did not reach the finals.[3]Between 1948 and 1951 he was 4 times national champion and set 12 national records in the 100 m and 200 m backstroke events.[4],-1
"The1958 French presidential electionwas the first held under theFrench Fifth Republic, on 21 December. It was the solepresidential electionbyelectoral college(gathering the members of theFrench Parliament, thegeneral councils, theoverseasassemblies, as well as tens of thousands of mayors, deputy mayors and municipal councillors) under the Fifth Republic. To win, a candidate was required to receive over 50% of the vote. This system was used solely for this election, as it was abolished following a1962 referendum.[1][2][3] Charles de Gaulle, who becamePresident of the Council of Ministers(Prime Minister) after theMay 1958 crisisamid theAlgerian War, won in alandslide victoryin the first round of voting with 78.5% of the votes cast, againstGeorges Marraneof theFrench Communist PartyandAlbert Châteletof theUnion of Democratic Forces.[4]De Gaulle took office on 8 January 1959; following the 1962 referendum, he established directuniversal suffragefor presidential elections, starting in1965, which saw him win reelection to a second term.[5]",8
"Ashok Kumar Chatterjee(27 November 1925 – 21 April 2021[2]) was an IndianphilosopherandBuddhistscholar who taught philosophy at theBanaras Hindu University,Varanasi.[3]He is best known for his bookThe Yogãcāra Idealism, published in 1962, in which he interpreted Yogacara-Vijnanavada school ofBuddhism.[4]",-1
"The2003 Masters(officially the2003 Benson & Hedges Masters) was a professional non-rankingsnookertournament that took place between 2 and 9 February 2003 at theWembley Conference CentreinLondon,England. Paul Hunter, who was aiming to complete a hat-trick of Masters titles, lost 3–6 toMark Williamsin the semi-final. Williams then beatStephen Hendry10–4 in the final to win his second Masters title. Hendry made the highest break of the championship with a 144 in his semi-final match againstKen Doherty, but missed out on a 147 during his quarter-final match against local favouriteJimmy Whitewhen he failed to pot the final pink. This was the last Masters to be sponsored byBenson & Hedgesafter the ban ontobacco advertisingwhich came into effect in summer 2003.Regal's sponsorship of theScottish Masters, theWelsh Openand theScottish Openalso ended during the2002/2003 season. However,Embassycontinued to sponsor theWorld Championshipuntil 2005. A total attendance of 24,329 was the events highest since 1988.",-1
"Tashi Dawa(Tibetan:བཀྲ་ཤིས་ཟླ་བ་;Chinese:扎西达娃; born February 1959) orZhaxi Dawa, is a Chinese novelist of half-Tibetan half-Han ethnic background. He is a distinguished Tibetan writer inChina, and one of the most controversial figures associated with modern Tibet.[2][3]He is best known for his novelThe Fury Shambhalaand short stories Souls Tied to the Knots on a Leather Cord and On the Road to Lhasa, which were adapted into a filmSoul on a Stringin 2017. He is a member of theChina Federation of Literary and Art Circles(CFLAC). He is a guest professor atTibet Minzu UniversityandTibet University. His works have been translated into English, Dutch, French, German, Italian, Japanese, Czech, Russian, and Swedish.[4][5]",-1
"VIP style(Japanese:ビップカー,lit.'VIP car') is a car modification trend that translates from theRomanised Japaneseterm 'bippu.' It refers to the modification of Japanese luxury automobiles to make them lower and wider in stance, with more aggressive wheels, suspension, and body kits. VIP Style cars are typically large, rear-wheel drive luxurysedans, although automotive enthusiasts sometimes use other cars such asminivansorkei cars. VIP cars were once associated with theYakuza; however, VIP style modifications are now a subset of their own as automotive modifications. As a trend, it differentiates itself from the traditional origins of the term VIP otherwise associated with the concept of a very important person. The VIP style has become a loose appropriation of the term perpetuated amongst enthusiasts that goes beyond traditionalVIP cars.",-1
"Meghalayan cuisineis the local cuisine of theIndian stateofMeghalaya. Meghalaya is home to three tribes; it has a unique cuisine, different from the otherSeven Sister Statesof northeast India. The staple food of the people is rice with spicy meat and fish preparations. They rear goats, pigs, fowl, ducks and cows and relish their meat. The dishes of Khasis and Jaintia are Jadoh, Ki Kpu,tung rymbai,[1]and pickledbamboo shoots; bamboo shoots are also a favorite dish of the Garos. Garos eat both domesticated and non-domesticated animals, though their everyday staples are simple foods such as rice withkapa, cooked with a special ingredient called purambhi masala.",-1
"Max Von McDaniel(April 18, 1939 – August 20, 1995) was an American professionalbaseballplayer. Initially a right-handedpitcher, he was arookiesensation at age 18 when, just days out of high school, he pitched acomplete game, two-hitshutoutfor theSt. Louis Cardinalsin his firstMajor League(MLB) start against the defendingNational LeaguechampionBrooklyn Dodgerson June 21, 1957.[1][2] McDaniel went on to have a sparkling debut season in the Majors. Winning his first four decisions, he pitched 19 consecutive scorelessinnings, bested his first start by recording a one-hitter, and posted a 7–5win–loss recordand a 3.22earned run averagein 17 games and 862⁄3innings pitched. But a breakdown in hispitching mechanicsresulted in severe control problems that curtailed both his mound and MLB careers and caused him to eventually become athird basemaninminor league baseball.[3]",-1
"Just Between Friends: Original Motion Picture Soundtrackis the original soundtrack to the filmJust Between Friends. Released in 1986, the film score was composed byPatrick Williamsand performed byEarl Klugh.[2][3][4]",-1
